isbn,name,author,year,description,quantity
0001,AgileHandbook,Santhosh,2000,Tells about Agile in detail,20
0002,SafeAgile,Steve,2005,Tells about Safe Agile In Detail,30
0003,Physics,Santhosh,2000,Tells about Agile in detail,20
0004,Chemistry,satheesh,2005,Tells about Safe Agile In Detail,30
0005,English,Santhosh,2000,Tells about Agile in detail,20
0006,Dummy Book,Steve,2005,Tells about Safe Agile In Detail,30
0007,Maths,Mulanga,2000,Tells about Agile in detail,20
0008,C++,Steve,2005,Tells about Safe Agile In Detail,10
0009,Java,Sean,2000,Tells about Agile in detail,20
0010,Ruby,sachin,2005,Tells about Safe Agile In Detail,30
0011,python,Kay,2000,Tells about Agile in detail,20
0012,CSE fundamentals,Steve,2005,Tells about Safe Agile In Detail,2
0013,C Programming,Santhosh,2000,Tells about Agile in detail,20
0014,AWS handbook,Steve,2005,Tells about Safe Agile In Detail,30
0015,Openshift handbook,Santhosh,2000,Tells about Agile in detail,20
0016,Azure handbook,Steve,2005,Tells about Safe Agile In Detail,4
0017,GCP handbook,Santhosh,2000,Tells about Agile in detail,6
0018,Terraform,Steve,2005,Tells about Safe Agile In Detail,5